time	value1	value2
5.001773748	21457680	7410176
10.020191749	6149514	8233512
15.021615741	7813097	5427888
20.022937557	12070645	9088082
25.024542115	15396287	5105435
30.026138413	12618274	7798053
35.026587876	28655943	6592657
40.028156782	16039220	5235609
45.029716854	20986363	13337338
50.031329389	26237549	7967812
55.032770095	17638367	24176993
60.034465268	15616597	6046201
65.036094052	12856055	6572733
70.037700983	28171024	11306871
75.039197933	24883639	12013886
80.040278896	20395304	20022415
85.041434501	17463976	11338969
90.042296493	61662053	27005682
95.04332782	39671280	16926868
100.044478072	46534341	29423955
105.045721647	52582206	21605676
110.047424842	37298269	17991144
115.048211896	36116235	18316728
120.049816475	41769556	21749269
125.051348022	30423194	29479284
130.052369728	32455678	16369125
135.053992989	38238388	22542427
140.055612843	46453003	45367557
145.057186484	15699960	52065811
150.058734408	21924388	51337403
155.059496589	74861527	49312045
160.061169019	39599326	37551054
165.062219653	43046400	33610106
170.063129826	89609959	36113461
175.064055319	35368935	40139383
180.064476111	61402558	28187452
185.064758094	66598352	42379648
190.0651573	90298437	45106593
195.065560158	72293508	33037248
200.066603703	70806670	18265128
205.067563426	66300518	44321855
210.069147391	57525950	53636371
215.070768361	40460820	49376301
220.072284041	56357573	101535550
225.073874712	65689231	43152979
230.075093904	70288695	55953222
235.076116747	66034052	57676748
240.077694347	69777482	67403069
245.079148911	65427680	103190622
250.080024483	92259983	70700285
255.080934315	78150100	55392019
260.081368009	106078004	69345141
265.082103115	96130744	49488455
270.083114222	104934462	45839865
275.083793103	104527737	57378991
280.085342858	56019123	83196068
285.086801012	58524406	63023503
290.088274359	57061667	82106024
295.089742601	60644279	64190918
300.090880326	45137664	109983287
305.091789344	49688304	63131222
310.092121287	86592271	121894093
315.092556373	103184716	83120073
320.092812248	80224259	119021981
325.093196408	94573685	109846713
330.093637308	109320888	74056005
335.094053684	105415630	68866436
340.094471146	53909901	63925886
345.094828987	54125933	50686860
350.095900216	89471119	59427408
355.096955705	60957002	52850911
360.098616064	54462917	69110628
365.098990726	49135821	93575690
370.099227278	90833782	89463879
375.099599124	125135172	108272314
380.100630692	78038607	115670384
385.101718768	55573336	121420566
390.102087939	97234509	58154201
395.10297548	88414420	63280402
400.104276751	77795868	75814539
405.104622805	86459584	66642396
410.104891773	71942162	55899469
415.105759742	73130571	41816033
420.106140498	85125985	66356374
425.10736304	89681182	112430586
430.108969358	94161076	103453108
435.109344038	107637825	62557635
440.110243594	150672235	74130346
445.111125918	92388287	86824832
450.11207824	71644685	93315865
455.11254719	102201603	87352815
460.113473668	115072771	69155144
465.114401492	89791098	73208033
470.114727214	64451188	99751247
475.115121188	86882416	86382597
480.115613163	80160034	107583469
485.116603012	98020226	103909525
490.117594003	109824395	162901307
495.118642461	74697965	89591767
500.119482797	94412990	87190802
505.119885629	91436788	87915361
510.120255232	93828780	104270232
515.120495003	126211874	90199716
520.12086506	99612402	80060546
525.126471819	135739089	93544967
530.126849239	166839251	73671832
535.127478314	121531463	115199261
540.127812196	116496969	94900725
545.128790482	119833029	104754360
550.129824002	81284669	69634462
555.130232153	131165973	95843832
560.138482476	135963192	103483029
565.138845329	114059968	120463338
570.139215268	144527817	95379740
575.139474598	162748804	138143192
580.140266866	115664782	199916411
585.141371065	105570988	125799418
590.141717802	154545871	131443343
595.148486057	196125121	150662798
600.149475561	180427808	72025895
605.149698624	178910603	114970507
610.150007425	197532322	124416264
615.150792532	207811640	156519334
620.151048033	255647159	133668875
625.151317449	153402429	171058564
630.152113602	106394934	151137456
635.152369913	92458273	104692616
640.153342857	157396053	130467209
645.154587933	178050802	168377716
650.154910757	124556818	222662848
655.15747471	320382781	155074941
660.158321578	273414994	201735795
665.159472879	123622345	170692490
670.159772013	148459682	296254502
675.160642644	261377313	150183706
680.160983443	134452496	123960327
685.161343441	148563749	102463861
690.162665571	119551939	165794657
695.162931253	136809339	167826263
700.163311104	158636927	116682401
705.164370349	187637350	306734075
710.164613125	143428094	301256082
715.164971854	187993137	190220496
720.165412927	118092877	137207306
725.165871795	146529054	298866752
730.166172631	163820697	158237945
735.16687969	164314651	158482900
740.16710358	185153000	133027545
745.167321294	243997096	98846556
750.168480889	268277601	168092588
755.168816876	166439516	229789499
760.169481216	233485012	156011519
765.170634607	181984724	232261475
770.170842319	140093305	191737478
775.171193701	166065267	182564531
780.178480155	169503942	220084989
785.187497187	188499923	259087586
790.188790917	236298732	241856161
795.189136506	165623517	304672483
800.190482568	163995606	350477428
805.190758668	254575235	244149252
810.196509425	208081054	242355222
815.196885162	239530379	244646738
820.20049472	186565688	147110934
825.203508228	175461334	181002967
830.211489565	208993791	175191855
835.213011755	185241517	184590905
840.213919812	144174040	286879867
845.221497838	168042795	131491626
850.221763326	203439516	130643824
855.239513991	189818061	379073804
860.249499068	205699379	229014192
865.25226444	193377973	272861388
870.252579182	138554041	119801313
875.258487641	179668935	168862264
880.276498306	208567846	213643575
885.276740321	208056546	252906160
890.278953079	159963412	133553650
895.279217273	162974464	179684289
900.279479939	160196899	246312155
905.279733852	213957368	189610067
910.28048865	193486859	331210886
915.280876439	173055590	219373101
920.281515186	174697185	156319700
925.286507509	187287733	168096486
930.287289836	165798090	346142292
935.288254212	136612477	208208588
940.288515198	195742747	148745280
945.29850039	246463449	184174798
950.306095913	239675858	166001844
955.306315356	199089425	247070998
960.30656627	216251337	238634789
965.306804397	200861069	234389191
970.32249335	215217351	185819228
975.331499331	213197643	226558982
980.331727637	203048206	254489676
985.33549524	207977994	162981986
